mini_batch_iteration,loss
0,0.7909
1,0.6735
2,0.6984
3,0.6565
4,0.5987
5,0.7475
6,0.6639
7,0.6606
8,0.6858
9,0.7353
10,0.6871
11,0.6744
12,0.7296
13,0.6381
14,0.6258
15,0.5845
16,0.6314
17,0.5872
18,0.5693
19,0.6028
20,0.5882
21,0.6909
22,0.7140
23,0.7177
24,0.7192
25,0.7111
26,0.6974
27,0.6986
28,0.6384
29,0.6784
30,0.7136
31,0.6846
32,0.6533
33,0.6342
34,0.6508
35,0.6279
36,0.6407
37,0.6573
38,0.7953
39,0.6536
40,0.6178
41,0.5646
42,0.5924
43,0.6290
44,0.5795
45,0.5930
46,0.7179
47,0.6304
48,0.7238
49,0.5766
50,0.5996
51,0.7226
52,0.6436
53,0.6952
54,0.5467
55,0.6598
56,0.5661
57,0.6915
58,0.6224
59,0.6197
60,0.6262
61,0.6416
62,0.7152
63,0.6662
64,0.6263
65,0.6665
66,0.6876
67,0.6440
68,0.5996
69,0.6619
70,0.7184
71,0.7158
72,0.6388
73,0.6029
74,0.6528
75,0.6852
76,0.6422
77,0.6333
78,0.7090
79,0.5791
80,0.7178
81,0.6055
82,0.5907
83,0.6286
84,0.6002
85,0.5931
86,0.5968
87,0.6963
88,0.5967
89,0.6030
90,0.6877
91,0.7337
92,0.7023
93,0.5504
94,0.5866
95,0.6167
96,0.6661
97,0.6771
98,0.6860
99,0.5659
100,0.6808
101,0.6395
102,0.5892
103,0.6408
104,0.6062
105,0.6378
106,0.5496
107,0.6110
108,0.5784
109,0.6024
110,0.7248
111,0.6575
112,0.6044
113,0.7301
114,0.7116
115,0.6711
116,0.5983
117,0.5759
118,0.6016
119,0.6754
120,0.6120
121,0.6039
122,0.6910
123,0.5476
124,0.6846
125,0.7114
126,0.6412
127,0.5946
128,0.7828
129,0.7156
130,0.6508
131,0.6761
132,0.6773
133,0.6891
134,0.6397
135,0.5729
136,0.6214
137,0.6426
138,0.7270
139,0.6204
140,0.6841
141,0.6134
142,0.5342
143,0.5624
144,0.7114
145,0.6075
146,0.6000
147,0.6428
148,0.6055
149,0.5744
150,0.5288
151,0.7384
152,0.6929
153,0.5949
154,0.6875
155,0.5607
156,0.6395
157,0.5984
158,0.6153
159,0.7015
160,0.6927
161,0.6488
162,0.5826
163,0.6483
164,0.6021
165,0.6290
166,0.6750
167,0.6377
168,0.5942
169,0.5885
170,0.7307
171,0.6666
172,0.5879
173,0.6198
174,0.5678
175,0.5451
176,0.6627
177,0.6855
178,0.6616
179,0.6624
180,0.6690
181,0.5472
182,0.6435
183,0.5056
184,0.5564
185,0.7167
186,0.5631
187,0.6010
188,0.6177
189,0.5832
190,0.6161
191,0.5621
192,0.7743
193,0.6338
194,0.6515
195,0.6996
196,0.6281
197,0.6387
198,0.7059
199,0.6167
200,0.5891
201,0.6223
202,0.6711
203,0.6406
204,0.6352
205,0.6726
206,0.6300
207,0.7147
208,0.6555
209,0.6004
210,0.6614
211,0.5861
212,0.6165
213,0.6292
214,0.6282
215,0.6737
216,0.6612
217,0.5916
218,0.7114
219,0.5884
220,0.5546
221,0.5702
222,0.5478
223,0.5746
224,0.6648
225,0.7033
226,0.6928
227,0.6818
228,0.6244
229,0.5751
230,0.6171
231,0.6058
232,0.5756
233,0.5793
234,0.6823
235,0.5317
236,0.6912
237,0.7618
238,0.6230
239,0.5936
240,0.6609
241,0.6220
242,0.6349
243,0.6338
244,0.5750
245,0.6167
246,0.6606
247,0.6693
248,0.5660
249,0.6963
250,0.6607
251,0.5359
252,0.6443
253,0.5786
254,0.5997
255,0.6789
256,0.6627
257,0.5153
258,0.6889
259,0.6063
260,0.5335
261,0.6817
262,0.5230
263,0.6035
264,0.6460
265,0.5593
266,0.6687
267,0.5947
268,0.6904
269,0.5719
270,0.5654
271,0.6178
272,0.5970
273,0.6714
274,0.6170
275,0.6764
276,0.6204
277,0.6002
278,0.5872
279,0.6449
280,0.6001
281,0.5078
282,0.5605
283,0.5722
284,0.5759
285,0.6567
286,0.7630
287,0.5743
288,0.6592
289,0.5894
290,0.5632
291,0.7007
292,0.5105
293,0.6518
294,0.6563
295,0.6540
296,0.5137
297,0.6665
298,0.6015
299,0.6037
300,0.6395
301,0.6563
302,0.5702
303,0.5853
304,0.6270
305,0.5991
306,0.6129
307,0.7636
308,0.6692
309,0.5886
310,0.7418
311,0.6337
312,0.5450
313,0.6223
314,0.5950
315,0.5791
316,0.6811
317,0.6222
318,0.6771
319,0.6825
320,0.6336
321,0.6550
322,0.6961
323,0.5730
324,0.6796
325,0.6657
326,0.5846
327,0.6709
328,0.6699
329,0.5919
330,0.6234
331,0.6135
332,0.5893
333,0.5756
334,0.5757
335,0.5816
336,0.6172
337,0.6303
338,0.5389
339,0.5208
340,0.5270
341,0.6695
342,0.6974
343,0.7744
344,0.5193
345,0.6871
346,0.6436
347,0.6962
348,0.6542
349,0.6154
350,0.6471
351,0.6613
352,0.6576
353,0.6450
354,0.5875
355,0.6722
356,0.6524
357,0.6891
358,0.6221
359,0.6473
360,0.7003
361,0.6061
362,0.6202
363,0.6580
364,0.6112
365,0.6393
366,0.6077
367,0.5941
368,0.6432
369,0.4956
370,0.7291
371,0.7149
372,0.6609
373,0.6922
374,0.6070
375,0.7334
376,0.6527
377,0.6741
378,0.7148
379,0.6192
380,0.6480
381,0.6329
382,0.6525
383,0.6643
384,0.7170
385,0.6969
386,0.6644
387,0.7353
388,0.6794
389,0.7077
390,0.7006
391,0.6600
392,0.7000
393,0.6528
394,0.6341
395,0.6535
396,0.6618
397,0.6642
398,0.6363
399,0.6690
400,0.6433
401,0.6335
402,0.6321
403,0.6876
404,0.7105
405,0.6176
406,0.6636
407,0.5748
408,0.6973
409,0.6235
410,0.6738
411,0.6396
412,0.6952
413,0.6360
414,0.6211
415,0.6267
416,0.5982
417,0.6474
418,0.5519
419,0.6116
420,0.6066
421,0.6029
422,0.5873
423,0.7257
424,0.6158
425,0.5654
426,0.7592
427,0.6617
428,0.6349
429,0.6887
430,0.7087
431,0.6857
432,0.6393
433,0.6255
434,0.6212
435,0.6252
436,0.6736
437,0.5822
438,0.5670
439,0.6281
440,0.5677
441,0.6275
442,0.7001
443,0.5897
444,0.6152
445,0.7140
446,0.6478
447,0.6337
448,0.5955
449,0.5959
450,0.5878
451,0.6275
452,0.6115
453,0.6243
454,0.6533
455,0.6309
